Nation,Mean,Level
Singapore,608,Proficient
Chinese Taipei,574,Proficient
Japan,570,Proficient
"Korea, Rep. of",561,Basic
Russian Federation,543,Basic
Finland,543,Basic
Lithuania,534,Basic
Hungary,530,Basic
Australia,528,Basic
Ireland,523,Basic
United States,522,Basic
Sweden,521,Basic
Portugal,519,Basic
England,517,Basic
Turkey,515,Basic
Israel,513,Basic
Hong Kong SAR,504,Basic
Italy,500,Basic
New Zealand,499,Basic
Norway,495,Basic
France,489,Basic
Bahrain,486,Basic
Cyprus,484,Below Basic
Kazakhstan,478,Below Basic
Qatar,475,Below Basic
United Arab Emirates,473,Below Basic
Romania,470,Below Basic
Chile,462,Below Basic
Malaysia,460,Below Basic
Oman,457,Below Basic
Jordan,452,Below Basic
"Iran, Islamic Rep. of",449,Below Basic
Georgia,447,Below Basic
Kuwait,444,Below Basic
Saudi Arabia,431,Below Basic
Morocco,394,Below Basic
Egypt,389,Below Basic
Lebanon,377,Below Basic
South Africa,370,Below Basic
